trace_id,timestamp,EventId,EventTemplate,type,rec,log_level,component,source
985,03-17 16:15:08.063,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
986,03-17 16:15:08.066,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
987,03-17 16:15:08.066,E11,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",Normal,No action needed.,D,PowerManagerService,android
988,03-17 16:15:08.076,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
989,03-17 16:15:08.076,E109,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",Session Error,Investigate session state.,D,PowerManagerService,android
990,03-17 16:15:08.080,E130,shouldBlockLocation running ...,Client Disconnect,Check client-side logs.,W,PhoneInterfaceManager,android
991,03-17 16:15:08.080,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
992,03-17 16:15:08.089,E130,shouldBlockLocation running ...,Client Disconnect,Check client-side logs.,W,PhoneInterfaceManager,android
993,03-17 16:15:08.089,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
994,03-17 16:15:11.325,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
995,03-17 16:15:11.325,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
996,03-17 16:15:11.325,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
997,03-17 16:15:15.843,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
998,03-17 16:15:15.844,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
999,03-17 16:15:15.844,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1000,03-17 16:15:18.834,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1001,03-17 16:15:18.856,E153,unregisterAudioFocusListener...,Timeout,Consider increasing timeout.,V,AudioManager,android
1002,03-17 16:15:18.856,E9,abandonAudioFocus,Session Error,Investigate session state.,I,AudioManager,android
1003,03-17 16:15:18.859,E4,"[HSM] stayAwake false uid: <*>, pid: <*>",Disk Failure,Check disk status and logs.,I,MediaPlayer,android
1004,03-17 16:15:18.866,E98,Pid:<*> MediaPlayer destructor,Leader Election,Monitor leader election process.,I,MediaPlayer,android
1005,03-17 16:15:19.879,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1006,03-17 16:15:19.882,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1007,03-17 16:15:19.986,E147,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false,Config Warning,Check configuration syntax.,I,DisplayManagerService,android
1008,03-17 16:15:19.986,E146,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,Memory Leak,Inspect memory usage patterns.,I,DisplayManagerService,android
1009,03-17 16:15:19.992,E101,Process <*>:qzone (pid <*>) has died,Normal,No action needed.,I,ActivityManager,android
1010,03-17 16:15:19.992,E36,cleanUpApplicationRecord -- <*>,Memory Leak,Inspect memory usage patterns.,D,ActivityManager,android
1011,03-17 16:15:19.993,E117,Scheduling restart of crashed service <*>.<*> in <*>,Config Warning,Check configuration syntax.,W,ActivityManager,android
1012,03-17 16:15:19.993,E37,"cleanUpApplicationRecordLocked, pid: <*>, restart: false",Config Warning,Check configuration syntax.,I,ActivityManager,android
1013,03-17 16:15:19.993,E38,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",Leader Election,Monitor leader election process.,I,ActivityManager,android
1014,03-17 16:15:20.000,E61,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,Normal,No action needed.,W,ActivityManager,android
1015,03-17 16:15:20.118,E72,isMusicActive...,Connection Error,Verify connection settings.,V,AudioManager,android
1016,03-17 16:15:20.357,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
1017,03-17 16:15:20.357,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
1018,03-17 16:15:20.357,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1019,03-17 16:15:20.661,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
1020,03-17 16:15:20.661,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
1021,03-17 16:15:20.661,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1022,03-17 16:15:20.963,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
1023,03-17 16:15:20.963,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
1024,03-17 16:15:20.963,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1025,03-17 16:15:20.995,E83,"new Process app=ProcessRecord{<*> <*>:<*>:qzone<*>}, name: <*>:qzone, euid: <*>",Timeout,Consider increasing timeout.,I,ActivityManager,android
1026,03-17 16:15:21.065,E138,Start proc <*>:<*>:qzone<*> for service <*>.<*>,Leader Election,Monitor leader election process.,I,ActivityManager,android
1027,03-17 16:15:21.126,E15,"ActivityManagerService,attachApplication,callingPid = <*>",Permission Issue,Review user permissions.,D,ActivityManager,android
1028,03-17 16:15:21.207,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1029,03-17 16:15:21.230,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1030,03-17 16:15:21.264,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
1031,03-17 16:15:21.264,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
1032,03-17 16:15:21.264,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1033,03-17 16:15:21.323,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1034,03-17 16:15:21.566,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
1035,03-17 16:15:21.566,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
1036,03-17 16:15:21.566,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1037,03-17 16:15:21.868,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1038,03-17 16:15:22.067,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1039,03-17 16:15:22.073,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1040,03-17 16:15:22.122,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1041,03-17 16:15:22.136,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1042,03-17 16:15:22.149,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1043,03-17 16:15:22.152,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1044,03-17 16:15:22.154,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1045,03-17 16:15:22.176,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1046,03-17 16:15:22.259,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1047,03-17 16:15:22.425,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1048,03-17 16:15:22.517,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1049,03-17 16:15:23.375,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1050,03-17 16:15:24.642,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1051,03-17 16:15:24.872,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
1052,03-17 16:15:24.873,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
1053,03-17 16:15:24.873,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1054,03-17 16:15:25.011,E61,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,Normal,No action needed.,W,ActivityManager,android
1055,03-17 16:15:25.015,E61,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,Normal,No action needed.,W,ActivityManager,android
1056,03-17 16:15:25.020,E61,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,Normal,No action needed.,W,ActivityManager,android
1057,03-17 16:15:25.046,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
1058,03-17 16:15:25.163,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
1059,03-17 16:15:25.164,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
1060,03-17 16:15:25.167,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
1061,03-17 16:15:25.170,E69,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down true canceled false,Session Error,Investigate session state.,D,WindowManager,android
1062,03-17 16:15:25.170,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
1063,03-17 16:15:25.171,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
1064,03-17 16:15:25.171,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
1065,03-17 16:15:25.196,E41,Destroying surface Surface(name=<*>) called by <*>,Normal,No action needed.,I,WindowManager,android
1066,03-17 16:15:25.201,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1067,03-17 16:15:25.201,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1068,03-17 16:15:25.262,E113,resumeSuspendedAutohide,Timeout,Consider increasing timeout.,I,PhoneStatusBar,android
1069,03-17 16:15:25.265,E68,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false,Leader Election,Monitor leader election process.,D,WindowManager,android
1070,03-17 16:15:25.265,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
1071,03-17 16:15:25.266,E102,querySoundEffectsEnabled...,Connection Error,Verify connection settings.,V,AudioManager,android
1072,03-17 16:15:25.307,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1073,03-17 16:15:25.307,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1074,03-17 16:15:25.330,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1075,03-17 16:15:25.331,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1076,03-17 16:15:25.336,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1077,03-17 16:15:25.336,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1078,03-17 16:15:25.443,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1079,03-17 16:15:25.443,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1080,03-17 16:15:25.448,E41,Destroying surface Surface(name=<*>) called by <*>,Normal,No action needed.,I,WindowManager,android
1081,03-17 16:15:25.479,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
1082,03-17 16:15:25.482,E69,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down true canceled false,Session Error,Investigate session state.,D,WindowManager,android
1083,03-17 16:15:25.482,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
1084,03-17 16:15:25.531,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1085,03-17 16:15:25.531,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1086,03-17 16:15:25.547,E113,resumeSuspendedAutohide,Timeout,Consider increasing timeout.,I,PhoneStatusBar,android
1087,03-17 16:15:25.549,E68,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false,Leader Election,Monitor leader election process.,D,WindowManager,android
1088,03-17 16:15:25.549,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
1089,03-17 16:15:25.550,E102,querySoundEffectsEnabled...,Connection Error,Verify connection settings.,V,AudioManager,android
1090,03-17 16:15:25.821,E72,isMusicActive...,Connection Error,Verify connection settings.,V,AudioManager,android
1091,03-17 16:15:26.148,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
1092,03-17 16:15:26.149,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
1093,03-17 16:15:26.149,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
1094,03-17 16:15:26.153,E69,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down true canceled false,Session Error,Investigate session state.,D,WindowManager,android
1095,03-17 16:15:26.153,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
1096,03-17 16:15:26.153,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
1097,03-17 16:15:26.154,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
1098,03-17 16:15:26.248,E113,resumeSuspendedAutohide,Timeout,Consider increasing timeout.,I,PhoneStatusBar,android
1099,03-17 16:15:26.250,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
1100,03-17 16:15:26.250,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
1101,03-17 16:15:26.252,E68,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false,Leader Election,Monitor leader election process.,D,WindowManager,android
1102,03-17 16:15:26.252,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
1103,03-17 16:15:26.253,E102,querySoundEffectsEnabled...,Connection Error,Verify connection settings.,V,AudioManager,android
1104,03-17 16:15:26.272,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
1105,03-17 16:15:26.273,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
1106,03-17 16:15:26.277,E18,"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false",Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
1107,03-17 16:15:26.277,E39,closeQs,Session Error,Investigate session state.,I,PanelView,android
1108,03-17 16:15:26.278,E34,cancelPeek: false,Disk Failure,Check disk status and logs.,I,PanelView,android
1109,03-17 16:15:26.278,E66,instantCollapse,Memory Leak,Inspect memory usage patterns.,I,PanelView,android
1110,03-17 16:15:26.278,E34,cancelPeek: false,Disk Failure,Check disk status and logs.,I,PanelView,android
1111,03-17 16:15:26.295,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1112,03-17 16:15:26.296,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1113,03-17 16:15:26.299,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Client Disconnect,Check client-side logs.,D,PowerManagerService,android
1114,03-17 16:15:26.299,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
1115,03-17 16:15:26.299,E11,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",Normal,No action needed.,D,PowerManagerService,android
1116,03-17 16:15:26.304,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1117,03-17 16:15:26.304,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1118,03-17 16:15:26.317,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1119,03-17 16:15:26.317,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1120,03-17 16:15:26.328,E123,setLightsOn(true),Timeout,Consider increasing timeout.,V,PhoneStatusBar,android
1121,03-17 16:15:26.328,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1122,03-17 16:15:26.375,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
1123,03-17 16:15:26.375,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
1124,03-17 16:15:26.375,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
1125,03-17 16:15:26.376,E149,"Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[false], rot:[<*>]",Session Error,Investigate session state.,I,WindowManager,android
1126,03-17 16:15:26.462,E150,The change in focus caused us to need to do a layout begin,Client Disconnect,Check client-side logs.,I,WindowManager,android
1127,03-17 16:15:26.462,E151,The change in focus caused us to need to do a layout end,Normal,No action needed.,I,WindowManager,android
1128,03-17 16:15:26.466,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1129,03-17 16:15:26.467,E27,cancelAutohide,Config Warning,Check configuration syntax.,I,PhoneStatusBar,android
1130,03-17 16:15:26.467,E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",Disk Failure,Check disk status and logs.,I,PhoneStatusBar,android
1131,03-17 16:15:26.475,E155,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
1132,03-17 16:15:26.475,E157,updateDimmedActivatedHideSensitive overlap:false,Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
1133,03-17 16:15:26.530,E136,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> bnds=<*> }",Memory Leak,Inspect memory usage patterns.,D,ActivityManager,android
1134,03-17 16:15:26.530,E134,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",Disk Failure,Check disk status and logs.,D,ActivityManager,android
1135,03-17 16:15:26.530,E135,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",Permission Issue,Review user permissions.,D,ActivityManager,android
1136,03-17 16:15:26.530,E135,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",Permission Issue,Review user permissions.,D,ActivityManager,android
1137,03-17 16:15:26.530,E132,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }",Connection Error,Verify connection settings.,D,ActivityManager,android
1138,03-17 16:15:26.530,E133,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",Timeout,Consider increasing timeout.,D,ActivityManager,android
1139,03-17 16:15:26.530,E55,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",Permission Issue,Review user permissions.,D,ActivityManager,android
1140,03-17 16:15:26.531,E56,getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>},Memory Leak,Inspect memory usage patterns.,D,ActivityManager,android
1141,03-17 16:15:26.542,E136,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> bnds=<*> }",Memory Leak,Inspect memory usage patterns.,D,ActivityManager,android
1142,03-17 16:15:26.542,E134,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",Disk Failure,Check disk status and logs.,D,ActivityManager,android
1143,03-17 16:15:26.542,E135,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",Permission Issue,Review user permissions.,D,ActivityManager,android
1144,03-17 16:15:26.542,E55,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",Permission Issue,Review user permissions.,D,ActivityManager,android
1145,03-17 16:15:26.542,E56,getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>},Memory Leak,Inspect memory usage patterns.,D,ActivityManager,android
1146,03-17 16:15:26.577,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
1147,03-17 16:15:26.577,E27,cancelAutohide,Config Warning,Check configuration syntax.,I,PhoneStatusBar,android
1148,03-17 16:15:26.577,E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",Disk Failure,Check disk status and logs.,I,PhoneStatusBar,android
1149,03-17 16:15:26.618,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
1150,03-17 16:15:26.619,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
